row,col,value
C11,C11,0.0615288382
C11,C22,0.0489911621
C11,C33,0.0489339355
C11,C23,1.32032381e-06
C11,C13,-1.37556524e-06
C11,C12,4.25739048e-07
C22,C11,0.0489110452
C22,C22,0.0615582616
C22,C33,0.0489338138
C22,C23,1.88314333e-06
C22,C13,9.51788095e-07
C22,C12,4.03907857e-06
C33,C11,0.0488801868
C33,C22,0.0489735254
C33,C33,0.0615152406
C33,C23,1.41640095e-06
C33,C13,-5.9274381e-07
C33,C12,1.31397429e-06
C23,C11,2.21164571e-06
C23,C22,3.35950048e-06
C23,C33,1.52644619e-06
C23,C23,0.153855326
C23,C13,1.67846857e-06
C23,C12,-2.62023762e-06
C13,C11,1.27501905e-07
C13,C22,-4.20984286e-07
C13,C33,3.41752238e-06
C13,C23,3.47700238e-06
C13,C13,0.15377718
C13,C12,-5.39557143e-08
C12,C11,-1.19817e-06
C12,C22,7.39711476e-06
C12,C33,5.87271857e-06
C12,C23,-1.28555762e-06
C12,C13,2.60569333e-06
C12,C12,0.153821896
